id,path,md5,species,bcs5,bcs9,confidence,reasoning,source
41508,datasets/icam_dog_bcs/images/0f38bf0228007c356795344494ee7745.jpg,0f38bf0228007c356795344494ee7745,dog,1,1,9,"[ICAM expert BCS5=1, Pro mapped] The dog exhibits extreme prominence of the ribs, spine, and pelvic bones, which are clearly visible from a distance. There is severe muscle wasting, particularly noticeable over the hindquarters and along the back, with no evidence of fat covering. The abdominal tuck is extreme, consistent with an emaciated state.",ICAM
41509,datasets/icam_dog_bcs/images/c30c0e3cf47610296c1200b3342189fe.jpg,c30c0e3cf47610296c1200b3342189fe,dog,1,1,9,"[ICAM expert BCS5=1, Pro mapped] The illustration shows severe muscle wasting, particularly in the lumbar region and hindquarters. The ribs, spine, and pelvic bones are starkly prominent from both the top and side views with deep depressions between the ribs. There is no discernible fat cover, representing the most extreme level of emaciation.",ICAM
41510,datasets/icam_dog_bcs/images/c0ffe352aa5b2800b2a9c6e684135851.jpg,c0ffe352aa5b2800b2a9c6e684135851,dog,2,3,8,"[ICAM expert BCS5=2, Pro mapped] The dog has clearly visible ribs and prominent pelvic bones. The abdominal tuck is pronounced rather than slight. The overall lack of fat covering over the ribs and hips, along with the visible bony prominences, aligns best with a BCS of 3.",ICAM
41511,datasets/icam_dog_bcs/images/475760590bd2aa38a69cb3a204e7f1f0.jpg,475760590bd2aa38a69cb3a204e7f1f0,dog,2,3,9,"[ICAM expert BCS5=2, Pro mapped] The illustration displays clearly visible ribs, a sharply defined waist when viewed from above, and a very prominent abdominal tuck from the side. Although the backbone is not prominently drawn, the significant degree of the abdominal tuck and the obvious waistline align best with BCS 3 (Thin) on the 9-point scale, rather than the 'slight' abdominal tuck described for BCS 4.",ICAM
41512,datasets/icam_dog_bcs/images/6622818acab535d20cc5e6ece3e7a846.jpg,6622818acab535d20cc5e6ece3e7a846,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Reference: Ribs not visible. Waist visible from above. Lower tummy slopes upwards from ribs to back leg.",ICAM
41513,datasets/icam_dog_bcs/images/6b88ede760a3a011daf0b2b54fc7260d.jpg,6b88ede760a3a011daf0b2b54fc7260d,dog,3,5,9,"[ICAM expert, BCS5=3→BCS9=5] Illustration: Ribs not visible. Waist visible. Abdominal tuck present.",ICAM
41514,datasets/icam_dog_bcs/images/04f9c122dba4c9eac09e2cfa42ae63fd.jpg,04f9c122dba4c9eac09e2cfa42ae63fd,dog,4,7,8,"[ICAM expert BCS5=4, Pro mapped] The dog's ventral profile is completely horizontal with no abdominal tuck, and the abdomen appears slightly rounded. The expert notes the waist is 'barely visible,' which directly aligns with the criteria for BCS 7 on the 9-point scale, indicating heavy fat covering and loss of waist definition.",ICAM
41515,datasets/icam_dog_bcs/images/a94fb20e67a6d470d48807abc1907efa.jpg,a94fb20e67a6d470d48807abc1907efa,dog,4,7,9,"[ICAM expert BCS5=4, Pro mapped] Based on the provided illustrations, the dog exhibits a barely visible waist when viewed from above, presenting a somewhat cylindrical shape. From the side view, the abdomen is rounded with no discernible abdominal tuck. The ICAM expert reasoning explicitly notes 'Waist barely visible' and 'Abdomen slightly rounded,' which directly corresponds to the criteria for a BCS 7 on the 9-point scale.",ICAM
41516,datasets/icam_dog_bcs/images/51edb590fcb8c898121ada4ff789a91c.jpg,51edb590fcb8c898121ada4ff789a91c,dog,5,8,8,"[ICAM expert BCS5=5, Pro mapped] The dog exhibits significant fat deposits, particularly noticeable around the neck and shoulder area where rolls are visible. The abdomen is markedly rounded and distended, bulging downward with no evidence of an abdominal tuck. The overall body shape lacks any definition or waistline, consistent with an obese condition.",ICAM
41517,datasets/icam_dog_bcs/images/109a66a85dfe708f61d948f0755c4ffb.jpg,109a66a85dfe708f61d948f0755c4ffb,dog,5,9,9,"[ICAM expert BCS5=5, Pro mapped] The illustration shows massive fat deposits across the thorax, neck, and spine, with visible fat rolls. From the top view, the abdomen bulges outward significantly, making the dog wider in the middle than at the shoulders or pelvis, indicating a complete absence of a waist. The side view reveals a pendulous, distended abdomen with absolutely no abdominal tuck. These extreme features align with severe obesity.",ICAM
