id,source,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09
tuning_best_of_5,google/gemini-3.1-pro-preview,0.4444,5,5,9,8,4,5,5,1,6
tuning_coarse_fine,google/gemini-3.1-pro-preview,0.7778,5,5,9,8,5,4,5,1,7
tuning_image_final,openai/gpt-4o,0.2222,5,5,8,7,4,4,5,1,5
tuning_debate,google/gemini-3.1-pro-preview,0.2222,4,5,8,7,4,4,5,1,6
tuning_first_iteration,google/gemini-3.1-pro-preview,0.3333,4,5,8,8,5,5,5,1,4
tuning_image_final,google/gemini-3.1-pro-preview,0.5556,5,5,8,8,5,5,5,1,7
tuning_debate,qwen/qwen3-vl-235b-a22b-instruct,0.6667,5,7,8,5,5,5,5,1,5
tuning_per_score,google/gemini-3.1-pro-preview,0.8889,5,3,8,8,6,5,4,1,6
tuning_best_of_5,openai/gpt-4o,0.1111,4,5,8,7,4,5,5,2,5
tuning_coarse_fine,openai/gpt-4o,0.2222,5,5,8,7,4,5,5,2,5
tuning_first_iteration,openai/gpt-4o,0.3333,5,5,8,7,5,5,5,2,5
tuning_debate,openai/gpt-4o,0.3333,5,5,8,7,3,5,5,2,5
tuning_per_score,qwen/qwen2.5-vl-72b-instruct,0.5556,5,5,8,5,5,5,5,2,5
tuning_debate,qwen/qwen2.5-vl-72b-instruct,0.6667,5,6,8,6,5,4,5,2,5
tuning_image_final,qwen/qwen3-vl-235b-a22b-instruct,0.5556,5,5,8,6,5,5,5,3,5
tuning_first_iteration,qwen/qwen3-vl-235b-a22b-instruct,0.6667,5,6,8,6,5,5,5,3,5
tuning_coarse_fine,qwen/qwen3-vl-235b-a22b-instruct,0.6667,5,7,8,7,5,5,5,3,5
tuning_per_score,qwen/qwen3-vl-235b-a22b-instruct,0.6667,5,5,7,5,3,5,5,2,5
tuning_per_score,openai/gpt-4o,0.7778,5,5,7,7,2,4,5,2,4
tuning_best_of_5,qwen/qwen2.5-vl-72b-instruct,0.8889,4,5,7,5,2,4,4,2,5
tuning_coarse_fine,qwen/qwen2.5-vl-72b-instruct,1.4444,5,5,7,5,7,4,3,2,7
tuning_image_final,qwen/qwen2.5-vl-72b-instruct,1,4,6,7,6,7,5,4,3,5
tuning_best_of_5,qwen/qwen3-vl-235b-a22b-instruct,0.6667,5,5,6,6,5,5,5,2,5
tuning_first_iteration,qwen/qwen2.5-vl-72b-instruct,1.2222,4,6,6,6,6,4,4,3,6
