id,source,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49,
tuning_best_of_5,openai/gpt-4o,0.4898,4,5,8,8,4,5,5,1,5,5,9,7,9,9,9,8,5,5,5,5,7,2,5,7,4,5,5,4,5,5,5,4,8,5,8,9,7,7,7,5,8,2,9,4,8,4,4,8,5,
tuning_best_of_5,google/gemini-3.1-pro-preview,0.4898,5,5,8,8,5,5,5,1,6,5,9,9,9,9,9,9,5,3,5,5,7,1,7,7,4,6,5,4,6,6,4,3,9,7,6,9,8,7,8,7,8,4,9,3,8,5,5,8,9,
tuning_image_final,openai/gpt-4o,0.4898,4,5,8,7,4,4,5,1,5,5,9,7,9,9,9,9,5,5,5,5,6,2,6,6,5,5,5,4,5,5,4,4,8,5,7,9,6,7,7,6,7,2,9,5,7,4,5,7,5,
tuning_image_final,google/gemini-3.1-pro-preview,0.5918,5,7,8,7,4,5,5,1,7,5,9,8,8,9,9,9,5,2,5,5,6,1,7,7,4,6,5,4,5,5,2,2,9,6,6,9,8,7,8,7,8,4,9,6,8,6,5,8,7,
tuning_first_iteration,openai/gpt-4o,0.6633,5,5,8,7.5,5,5,5,1.5,5,5.5,9,6,9,9,9,9,5,5,5,5,7,2,5,7,5,5,7,5,5,7,5,4.5,9,5,6,9,7,7,7.5,7,7.5,2,9,4,8,5,5,7.5,5,
tuning_debate,google/gemini-3.1-pro-preview,0.6939,5,5,9,8,5,5,5,1,7,5,9,9,9,9,9,9,5,2,2,6,6,1,7,8,3,6,5,4,5,5,3,3,9,6,6,9,8,6,7,7,8,4,9,4,8,5,3,9,5,
tuning_debate,openai/gpt-4o,0.7143,4,5,8,7,3,5,5,2,5,5,9,7,8,9,9,9,5,5,5,5,6,1,5,5,5,5,5,5,5,5,3,3,8,5,7,8,6,7,7,5,7,3,9,4,8,5,3,6,5,
tuning_first_iteration,qwen/qwen3-vl-235b-a22b-instruct,1.0306,5,5,8,6,5,5,5,3,5.5,5,8.5,7.5,8,9,9,8.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8.5,5,5,9,5,6,5,6,6,5,8,5,6,5,5,5.5,8.5,
tuning_debate,qwen/qwen3-vl-235b-a22b-instruct,1.0612,5,4,7,5,5,5,5,2,5,5,9,9,7,8,9,8,5,5,5,5,5,5,5,5,5,4,5,5,5,6,5,4,9,5,5,9,5,6,5,6,7,5,8,4,6,5,5,6,6,
tuning_image_final,qwen/qwen3-vl-235b-a22b-instruct,1.0816,5,5,6,6,5,5,5,2,5,5,9,7,8,8,9,8,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,9,5,5,9,5,6,5,5,6,5,8,5,6,5,5,5,6,
tuning_best_of_5,qwen/qwen3-vl-235b-a22b-instruct,1.1224,5,6,9,5,4,5,5,2,5,4,8,7,7,8,9,8,5,5,4,5,5,4,5,5,3,5,5,5,5,6,5,4,8,5,5,9,6,6,4,6,6,5,9,4,6,5,4,5,8,
tuning_best_of_5,qwen/qwen2.5-vl-72b-instruct,1.4082,5,5,7,7,3,5,4,3,5,4,8,7,7,8,7,7,4,5,5,5,7,5,5,5,3,4,4,4,5,6,3,7,7,5,5,8,5,7,5,7,7,5,7,2,7,7,2,7,8,
tuning_debate,qwen/qwen2.5-vl-72b-instruct,1.449,5,5,8,6,7,5,4,2,6,4,8,8,8,8,7,7,5,5,5,5,7,6,5,5,2,5,5,5,5,5,2,8,8,5,5,8,5,7,5,5,5,5,7,3,6,7,2,7,8,
tuning_image_final,qwen/qwen2.5-vl-72b-instruct,1.4898,5,5,7,6,7,4,4,3,6,5,9,7,7,8,7,7,4,5,6,5,7,5,4,5,3,5,4,5,5,4,4,6,7,5,4,9,5,7,4,7,5,5,7,2,7,6,3,6,9,
tuning_first_iteration,qwen/qwen2.5-vl-72b-instruct,1.6633,4.5,5,6.5,6,6,4,4.5,4,5,4,8,6.5,6,8,6,7,4,6,6,4.5,6,6,4.5,4.5,3,4,4,5,5.5,4,4,5.5,7,4.5,4,8,4,6,4,6,5.5,4.5,6,3,6,6,3,6,7.5,
baseline,qwen/qwen2.5-vl-72b-instruct,1,1.449,4,5,7,5,5,4,4,3,5,4,9,7,7,9,5,7,4,5,5,4,6,5,5,5,3,4,4,4,4,5,3,5,8,4,5,9,5,6,5,5,5,4,7,3,7,5,3,5,9
baseline,qwen/qwen2.5-vl-72b-instruct,2,1.4082,4,5,7,5,5,4,5,3,5,5,9,7,7,9,5,7,4,5,5,4,6,5,5,5,3,4,4,4,4,5,3,5,8,4,5,9,5,6,5,5,5,4,7,3,7,5,3,5,9
baseline,qwen/qwen2.5-vl-72b-instruct,avg,1.4286,4,5,7,5,5,4,4.5,3,5,4.5,9,7,7,9,5,7,4,5,5,4,6,5,5,5,3,4,4,4,4,5,3,5,8,4,5,9,5,6,5,5,5,4,7,3,7,5,3,5,9
baseline,qwen/qwen3-vl-235b-a22b-instruct,1,1.1837,5,5,7,6,5,5,5,3,5,5,8,7,7,8,8,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,8,5,6,5,5,6,5,7,5,6,5,5,6,7
